term	response	NKG7	Signature.21	Signature.8	CXCR6	T_inflam_GEP	CD399	TIGIT	Signature.10	Signature.6	Is_Male	CD274	IDO1	Signature.15	CD27	Signature.20	FIGIT	DDR	LAG3	CXCR9	HLA.E	STAT1	CCL5	Signature.7	CD8A	PSMB10	Signature.4	Signature.9	SERPINB3_SERPINB4	Indel_TMB	NMD_escape_TMB	CXCL9	TMB	Signature.1A	Clonal_TMB
Clonal_TMB	0.2357970909042951	0.07066873716660399	-0.09197175745029212	0.01073492961981306	0.08050900919524286	0.06919700248028253	-0.053066723256693885	0.027842130915717286	0.006274415190018744	-0.04106037529876199	0.1215761132133753	0.07073300214074482	0.06882218794568089	-0.07578257478755905	-0.03313882299365142	-0.034919104743584006	0.020454108953591267	0.24764308725351605	0.15815827791094553	-4.3579364034477625e-4	0.09355783649017323	0.18526034208535377	0.07402910130572449	0.0670097448337779	0.038276109555241494	0.20282400236035766	0.06735354045262255	-0.00881079477133461	0.3225928185661145	0.5164242060118173	0.5155378064162098	0.13943282478972277	0.9759099120675595	-0.25368250109543466	NA
Signature.1A	-0.22849393821467792	-0.19623390267690885	-0.0731653664742036	-0.04384577695437955	-0.15850656569240107	-0.032385453515933436	0.048561495844490606	-0.1495845988524989	-0.11907685162260119	0.02443284243553083	-0.07629024624285903	-0.13365201272725202	-0.10396544083426557	0.017872008062039514	-0.14652306300061457	-0.03698009827289124	0.03495253381738429	-0.11569831142203915	-0.20955609323630403	0.03313495511606048	-0.1310877613622521	-0.17946949345057633	-0.18571851357369762	-0.46131447779345414	-0.16910108014918027	-0.13703487284765412	-0.22945384861607165	-0.09378225610637562	-0.09478944478317557	-0.01258425183509866	0.00517605052131844	-0.12723444177256407	-0.24352402485298147	NA	-0.25368250109543466
TMB	0.22685772357650266	0.0514720207132328	-0.09812250333953845	0.011937799941747729	0.06514878528346699	0.06188132391592264	-0.054425835455110386	0.015128289295966076	0.005282664833870055	-0.04180172553081126	0.10265258433460353	0.04813275888339659	0.06682614654057223	-0.06913707026978916	-0.05215019463680451	-0.038865227645554175	0.015588449176515534	0.26462062129414643	0.14579882587092344	0.009375409505296	0.08333356654253986	0.16493929355647133	0.0505443697873992	0.06117252575415371	0.02369804079849075	0.18645317304089998	0.07200024729285602	-0.029566382805016483	0.3102867452918527	0.571499650258256	0.5656150695523844	0.12276975846308777	NA	-0.24352402485298147	0.9759099120675595
CXCL9	0.17053242126348098	0.4595503097335236	0.009708809027098461	0.012462776668505088	0.4233203150003353	0.4522702063855199	-0.03969243133161172	0.5088039281426315	-0.030042553746522645	0.013921657893715482	0.03495070204909757	0.5248441258148334	0.41954690216802276	0.0025362468284568277	0.43054252755199196	0.021916329540743875	0.004821095270935192	0.11186348273463939	0.5355110217750186	-0.0518653715139401	0.49155232456282105	0.5850326827983493	0.48956129359352685	0.03979074338349056	0.7158978001409861	0.4621727716185684	-0.01548206166547758	-0.016038273008006636	0.07501085779622396	-0.0027618742332921804	-5.157652559741473e-4	NA	0.12276975846308777	-0.12723444177256407	0.13943282478972277
NMD_escape_TMB	0.1620744898284819	0.03966962059399668	0.006029272793512926	0.03485502461042611	-0.04336171483388214	-0.06356491806726591	-0.06677021992825911	-0.04746172342228548	-0.10195545536921374	0.031075178652368824	0.012893576467500773	-0.016677812222104547	-0.006274318088496485	-0.024986625031306452	-0.0895101308358831	-0.029923649705140175	0.011016195469218903	0.1938595205631066	5.424063593088937e-4	0.09336102624821861	-0.02541658947663835	0.01413022064106642	-0.046769804586694885	0.017966903376647372	-0.020396351199829552	0.05335221339246228	0.08178278983120592	-0.01154423094197576	0.10002225014476272	0.9097713739679069	NA	-5.157652559741473e-4	0.5656150695523844	0.00517605052131844	0.5155378064162098
Indel_TMB	0.15046290049664168	0.028787098421774522	-0.021168670731737744	0.024771667479466408	-0.040559100968901224	-0.06555150608107647	-0.0492775400018345	-0.06327284274255182	-0.09408766138814642	0.035412572964183146	0.04509416898664521	-0.03966520433192458	-0.011246364743197158	-0.02404530880035229	-0.10367485329533235	-0.02889339897901584	0.029829568107647846	0.2577839123897167	-0.003349324594677737	0.07686714709309904	-0.04245835018974576	-0.012870177341128134	-0.040910393419778715	0.019043139479751447	-0.030436040338365094	0.03098822998565386	0.12959310431772847	-0.019885643406210376	0.07130471958791117	NA	0.9097713739679069	-0.0027618742332921804	0.571499650258256	-0.01258425183509866	0.5164242060118173
SERPINB3_SERPINB4	0.13859278413551154	-0.03973231220886901	-0.055471624828704304	-0.013055553250420791	-0.021600677937937178	0.0246213085567765	-0.030883988983481575	-0.009013871126463197	0.048933237723093465	-0.03923209507725795	0.0556635102187322	-0.04599291366594909	-0.05330517506705785	-0.046699208393932615	-0.06091959712005448	-0.015220084117651004	0.02080406626751898	0.06050665932870818	0.049739413856326055	-5.59875000082369e-4	0.009549719302400778	0.04489332624780252	0.17028737570514774	0.08772240071168474	0.007787345719248787	0.05377603780564966	-0.031440656171958015	-0.015220084117651004	NA	0.07130471958791117	0.10002225014476272	0.07501085779622396	0.3102867452918527	-0.09478944478317557	0.3225928185661145
Signature.9	0.1376795812388781	0.003368351694976002	0.03608235541496059	-0.008193977231559828	0.001921950431648569	-0.031835714139263775	0.07267592512495723	-0.010504334447431398	-0.03079032554593692	0.021524434217385938	0.019481889853926085	0.04145182174158078	-0.03968904295137463	0.0058497951324404576	-0.0019343437252629027	0.7418468274076292	-0.07713914335088953	-0.01208742239376938	-0.021563234677836333	-0.03174806914254609	-0.05917862601731424	-0.043612846838008985	-0.014712993955557254	-0.07133473736113442	0.006919771343118054	-0.017876748347148558	0.043613165821238975	NA	-0.015220084117651004	-0.019885643406210376	-0.01154423094197576	-0.016038273008006636	-0.029566382805016483	-0.09378225610637562	-0.00881079477133461
Signature.4	0.1356248994179268	0.09626051537477867	0.03944732967557967	0.06297830117872132	0.019052985431348566	-0.00996652559666082	0.01711995323281695	0.0463100103719884	-0.08569764228293707	-0.026204205319180888	-0.1109573714175848	-0.05410751498451021	-0.02317129889080961	-0.025290813696554212	0.01990474191192268	0.004359310690102999	0.07043108527534002	0.12180826398038569	0.012897300751395573	0.012953539574244525	-0.0034607287812183146	4.36542495684016e-4	0.0031290081750358256	-0.2540659904839146	-0.011166111794255019	0.027794330739223577	NA	0.043613165821238975	-0.031440656171958015	0.12959310431772847	0.08178278983120592	-0.01548206166547758	0.07200024729285602	-0.22945384861607165	0.06735354045262255
PSMB10	0.12933910156261538	0.5266655710747421	-0.01569372594374918	-0.04162430339241146	0.5145393673602592	0.32626038866211227	-0.015035325189457134	0.6149484796988628	0.03530727905018091	0.021843283775491686	0.052510358963850125	0.3175710059071557	0.4577931116331784	-0.08170867744387039	0.5433033608445336	-0.030946844460068495	0.004990406856833804	0.14172243251775932	0.5902810100809304	-0.042458812225019175	0.7350169014351123	0.6684292020755173	0.551753827088885	0.0464770438270672	0.41192128675557704	NA	0.027794330739223577	-0.017876748347148558	0.05377603780564966	0.03098822998565386	0.05335221339246228	0.4621727716185684	0.18645317304089998	-0.13703487284765412	0.20282400236035766
CD8A	0.12181550791848257	0.5983816252027283	-0.004130512532132625	-0.03244718637382868	0.45443574267904346	0.4565799971166011	-0.035061393455940844	0.5528118466100754	0.024157983234867487	-0.003633215042632116	-0.008278599331686716	0.5411506372053126	0.32264016959445735	0.04640534273322461	0.5567479409652533	0.016725572705892554	0.07198668374289749	0.06888782022739094	0.5238031765569043	-0.040817493240627764	0.41315070419365746	0.4622675582392973	0.5145964431627247	0.03813961330159592	NA	0.41192128675557704	-0.011166111794255019	0.006919771343118054	0.007787345719248787	-0.030436040338365094	-0.020396351199829552	0.7158978001409861	0.02369804079849075	-0.16910108014918027	0.038276109555241494
Signature.7	0.1215375990473012	-0.005501439940491801	-0.08048608081327704	-0.07440838762329358	0.03639204486910134	0.007221152707424746	-0.02152540897705415	0.03944857356727918	-0.20099832887259822	-0.15791686351993633	0.01532817844940571	0.03604810935122909	0.03120814259098931	-0.16705452826685135	0.025908902801047486	-0.051141346037167246	0.05834685107463958	-0.030862478977087555	0.037078552085999084	0.00795139816857007	0.04698617229407116	0.059281888043647084	0.023533918970393964	NA	0.03813961330159592	0.0464770438270672	-0.2540659904839146	-0.07133473736113442	0.08772240071168474	0.019043139479751447	0.017966903376647372	0.03979074338349056	0.06117252575415371	-0.46131447779345414	0.0670097448337779
CCL5	0.1180395784102905	0.6743889905872504	0.027972311774010637	-0.03448978736180384	0.5651125342883153	0.26847374755114234	-0.05679646948530798	0.6134210573530837	0.12194118484786493	0.011151728353624078	0.022314688239839547	0.35722940078849347	0.40740718559030215	0.007365541811352318	0.5346313496955245	-0.02359867642862821	0.11270211054270698	0.13259610553096374	0.7396366002034178	-0.024712135925497855	0.6213127171337528	0.5683450637037829	NA	0.023533918970393964	0.5145964431627247	0.551753827088885	0.0031290081750358256	-0.014712993955557254	0.17028737570514774	-0.040910393419778715	-0.046769804586694885	0.48956129359352685	0.0505443697873992	-0.18571851357369762	0.07402910130572449
STAT1	0.11770368541136117	0.5451138747438031	-0.010621203618019518	-0.012680334023137417	0.5026182874358965	0.32726910862114855	-0.02306357562255607	0.5670597939866154	0.06473389891627279	0.033604517317610355	0.020361374563089896	0.3996024065207856	0.5453531385897445	-0.03183301740656308	0.45974574381412536	-0.03194748454593948	-0.003517364513993074	0.15694008791757494	0.6921789242010136	-0.021460171165758678	0.7220082868078592	NA	0.5683450637037829	0.059281888043647084	0.4622675582392973	0.6684292020755173	4.36542495684016e-4	-0.043612846838008985	0.04489332624780252	-0.012870177341128134	0.01413022064106642	0.5850326827983493	0.16493929355647133	-0.17946949345057633	0.18526034208535377
HLA.E	0.11710542995863825	0.5212288285277724	-0.030706960516072662	0.032031405394385135	0.48265469487395907	0.2875021138322988	-0.03253821582612024	0.6343151452270201	0.09738585346562603	0.014937063273592044	0.06378254229875278	0.29414311602927284	0.4965668591727268	-0.023019027302128858	0.5691731203137946	-0.03722241241317743	0.012073273235886665	0.15850125150023336	0.6391383653003123	-0.037113654886481266	NA	0.7220082868078592	0.6213127171337528	0.04698617229407116	0.41315070419365746	0.7350169014351123	-0.0034607287812183146	-0.05917862601731424	0.009549719302400778	-0.04245835018974576	-0.02541658947663835	0.49155232456282105	0.08333356654253986	-0.1310877613622521	0.09355783649017323
CXCR9	-0.11489602480776524	-4.0519248308663327e-4	0.01331302361005839	-0.04835617089662859	0.005755003439283064	-0.04500684380553131	-0.034046125651752794	0.00351367173317736	-5.779217027748105e-4	0.0391652133622737	-0.030310108792979486	-0.04214125587592577	0.03331855916922218	-9.326995405710448e-5	-0.020683752488998532	-0.023333808353796368	0.016368444115063486	-0.08263877594870887	-0.015396398401878342	NA	-0.037113654886481266	-0.021460171165758678	-0.024712135925497855	0.00795139816857007	-0.040817493240627764	-0.042458812225019175	0.012953539574244525	-0.03174806914254609	-5.59875000082369e-4	0.07686714709309904	0.09336102624821861	-0.0518653715139401	0.009375409505296	0.03313495511606048	-4.3579364034477625e-4
LAG3	0.10827212922033007	0.7504676571893719	-0.01643276186532323	-0.04783768525997311	0.6066559355994757	0.31821730542842297	0.0016261431657177627	0.6403361787449089	0.02754059715802536	-0.0027864232733150578	0.014925322911266557	0.4587677564898256	0.4577642821904388	0.08491508345482997	0.56371737926386	-0.027785542459660754	0.08979888684546945	0.10431085805244984	NA	-0.015396398401878342	0.6391383653003123	0.6921789242010136	0.7396366002034178	0.037078552085999084	0.5238031765569043	0.5902810100809304	0.012897300751395573	-0.021563234677836333	0.049739413856326055	-0.003349324594677737	5.424063593088937e-4	0.5355110217750186	0.14579882587092344	-0.20955609323630403	0.15815827791094553
DDR	0.10738091627338568	0.0426284446534343	-0.047295045019696676	-0.023453946290699083	0.08380446308086402	0.05312243905527807	-0.07408847858144639	0.0842112377171422	0.015465919141437731	0.008728745031070358	0.06540368523694808	0.09951752135328959	0.07707776832286115	-0.018591648889698754	-0.008819546922102411	-0.00836410311018044	-0.0010877595258914532	NA	0.10431085805244984	-0.08263877594870887	0.15850125150023336	0.15694008791757494	0.13259610553096374	-0.030862478977087555	0.06888782022739094	0.14172243251775932	0.12180826398038569	-0.01208742239376938	0.06050665932870818	0.2577839123897167	0.1938595205631066	0.11186348273463939	0.26462062129414643	-0.11569831142203915	0.24764308725351605
FIGIT	-0.09941172771993213	0.10066331698900559	5.555715871653725e-4	-0.008631076179518533	0.0421359919071422	-0.011252859961374546	-0.02373510965385992	0.03839551224784068	-0.07626768228188655	-0.012451362400152743	-0.1014736145958167	0.03849266700865944	0.034494321350676295	-0.0588714387525479	0.076661769990607	-0.09101798154752926	NA	-0.0010877595258914532	0.08979888684546945	0.016368444115063486	0.012073273235886665	-0.003517364513993074	0.11270211054270698	0.05834685107463958	0.07198668374289749	0.004990406856833804	0.07043108527534002	-0.07713914335088953	0.02080406626751898	0.029829568107647846	0.011016195469218903	0.004821095270935192	0.015588449176515534	0.03495253381738429	0.020454108953591267
Signature.20	0.09870533441153433	-0.01275274151020623	-0.0126667842352305	-0.005874431455441007	-0.016194737942861345	-0.029992810896140202	0.08670929509684878	-0.016965281049187424	-0.022074220100790867	0.01587017655332584	0.03944157417454251	-0.0031527860905550243	-0.03059233069552591	-0.01524442882477752	-0.009637904423241733	NA	-0.09101798154752926	-0.00836410311018044	-0.027785542459660754	-0.023333808353796368	-0.03722241241317743	-0.03194748454593948	-0.02359867642862821	-0.051141346037167246	0.016725572705892554	-0.030946844460068495	0.004359310690102999	0.7418468274076292	-0.015220084117651004	-0.02889339897901584	-0.029923649705140175	0.021916329540743875	-0.038865227645554175	-0.03698009827289124	-0.034919104743584006
CD27	0.09800821524185854	0.6492587565234114	-0.0013628495232044647	-0.03386247133226532	0.5627005743337572	0.29303895734431135	0.00453323152040845	0.800423918492398	0.00848476690144957	-0.014217499740915898	0.008099441956993435	0.32407838907247166	0.3446868243611916	0.0058475743193717395	NA	-0.009637904423241733	0.076661769990607	-0.008819546922102411	0.56371737926386	-0.020683752488998532	0.5691731203137946	0.45974574381412536	0.5346313496955245	0.025908902801047486	0.5567479409652533	0.5433033608445336	0.01990474191192268	-0.0019343437252629027	-0.06091959712005448	-0.10367485329533235	-0.0895101308358831	0.43054252755199196	-0.05215019463680451	-0.14652306300061457	-0.03313882299365142
Signature.15	-0.09575009244006122	0.07582440364341889	-0.009718026818674839	0.028729076385161943	0.005011458126817283	-0.03443296841544709	-0.0643108024293063	-0.013012485978917018	-0.020100848283089976	0.13112171719598342	-0.004730418264282439	0.07764192457121225	-0.04542242287539682	NA	0.0058475743193717395	-0.01524442882477752	-0.0588714387525479	-0.018591648889698754	0.08491508345482997	-9.326995405710448e-5	-0.023019027302128858	-0.03183301740656308	0.007365541811352318	-0.16705452826685135	0.04640534273322461	-0.08170867744387039	-0.025290813696554212	0.0058497951324404576	-0.046699208393932615	-0.02404530880035229	-0.024986625031306452	0.0025362468284568277	-0.06913707026978916	0.017872008062039514	-0.07578257478755905
IDO1	0.09500270045185756	0.3874541381103778	0.0021071090762165537	0.02109980838124526	0.3536334386325191	0.30396200579232624	0.002863008013554062	0.4277510862298056	-0.029392562055766635	-0.00833762478790679	-0.007415909541311421	0.26572716026985893	NA	-0.04542242287539682	0.3446868243611916	-0.03059233069552591	0.034494321350676295	0.07707776832286115	0.4577642821904388	0.03331855916922218	0.4965668591727268	0.5453531385897445	0.40740718559030215	0.03120814259098931	0.32264016959445735	0.4577931116331784	-0.02317129889080961	-0.03968904295137463	-0.05330517506705785	-0.011246364743197158	-0.006274318088496485	0.41954690216802276	0.06682614654057223	-0.10396544083426557	0.06882218794568089
CD274	0.09394631374069876	0.4212547859956327	-0.005474804301869874	-0.03925032547792694	0.3660421722786916	0.3300079557114496	-0.016406917626208974	0.4000828228525264	0.010606739964038806	-0.06370850850042557	0.012322981442806386	NA	0.26572716026985893	0.07764192457121225	0.32407838907247166	-0.0031527860905550243	0.03849266700865944	0.09951752135328959	0.4587677564898256	-0.04214125587592577	0.29414311602927284	0.3996024065207856	0.35722940078849347	0.03604810935122909	0.5411506372053126	0.3175710059071557	-0.05410751498451021	0.04145182174158078	-0.04599291366594909	-0.03966520433192458	-0.016677812222104547	0.5248441258148334	0.04813275888339659	-0.13365201272725202	0.07073300214074482
Is_Male	0.09121787013263885	0.011252260093203006	-0.08866506751105926	-0.07701510115759509	0.039252470723067215	0.0618588173340217	0.024383309868187233	0.02419470420039888	0.07837514963670715	0.020551832862826466	NA	0.012322981442806386	-0.007415909541311421	-0.004730418264282439	0.008099441956993435	0.03944157417454251	-0.1014736145958167	0.06540368523694808	0.014925322911266557	-0.030310108792979486	0.06378254229875278	0.020361374563089896	0.022314688239839547	0.01532817844940571	-0.008278599331686716	0.052510358963850125	-0.1109573714175848	0.019481889853926085	0.0556635102187322	0.04509416898664521	0.012893576467500773	0.03495070204909757	0.10265258433460353	-0.07629024624285903	0.1215761132133753
Signature.6	-0.08990251819707519	0.04117480724036638	-0.02657595467122872	0.023524007418355558	-0.0535002533990571	-0.028429371911425715	0.006485618405023122	-0.02055960763940379	-0.023814461621439475	NA	0.020551832862826466	-0.06370850850042557	-0.00833762478790679	0.13112171719598342	-0.014217499740915898	0.01587017655332584	-0.012451362400152743	0.008728745031070358	-0.0027864232733150578	0.0391652133622737	0.014937063273592044	0.033604517317610355	0.011151728353624078	-0.15791686351993633	-0.003633215042632116	0.021843283775491686	-0.026204205319180888	0.021524434217385938	-0.03923209507725795	0.035412572964183146	0.031075178652368824	0.013921657893715482	-0.04180172553081126	0.02443284243553083	-0.04106037529876199
Signature.10	0.08203107936631462	-0.0013002629780614835	-0.04234559312882336	-0.023823360057421687	0.10630566053563013	-0.022124917166879494	0.04133282000920392	0.018679630109620114	NA	-0.023814461621439475	0.07837514963670715	0.010606739964038806	-0.029392562055766635	-0.020100848283089976	0.00848476690144957	-0.022074220100790867	-0.07626768228188655	0.015465919141437731	0.02754059715802536	-5.779217027748105e-4	0.09738585346562603	0.06473389891627279	0.12194118484786493	-0.20099832887259822	0.024157983234867487	0.03530727905018091	-0.08569764228293707	-0.03079032554593692	0.048933237723093465	-0.09408766138814642	-0.10195545536921374	-0.030042553746522645	0.005282664833870055	-0.11907685162260119	0.006274415190018744
TIGIT	0.08140102872132075	0.6850076940669846	-2.7629066947904306e-4	-0.024760148094044337	0.6316280273982048	0.3134092914794807	-0.01621115657325737	NA	0.018679630109620114	-0.02055960763940379	0.02419470420039888	0.4000828228525264	0.4277510862298056	-0.013012485978917018	0.800423918492398	-0.016965281049187424	0.03839551224784068	0.0842112377171422	0.6403361787449089	0.00351367173317736	0.6343151452270201	0.5670597939866154	0.6134210573530837	0.03944857356727918	0.5528118466100754	0.6149484796988628	0.0463100103719884	-0.010504334447431398	-0.009013871126463197	-0.06327284274255182	-0.04746172342228548	0.5088039281426315	0.015128289295966076	-0.1495845988524989	0.027842130915717286
CD399	-0.0767014819768274	0.010671714118261287	-0.007211920699298389	-0.016365048912497595	0.005042687532789977	-0.028103337818995867	NA	-0.01621115657325737	0.04133282000920392	0.006485618405023122	0.024383309868187233	-0.016406917626208974	0.002863008013554062	-0.0643108024293063	0.00453323152040845	0.08670929509684878	-0.02373510965385992	-0.07408847858144639	0.0016261431657177627	-0.034046125651752794	-0.03253821582612024	-0.02306357562255607	-0.05679646948530798	-0.02152540897705415	-0.035061393455940844	-0.015035325189457134	0.01711995323281695	0.07267592512495723	-0.030883988983481575	-0.0492775400018345	-0.06677021992825911	-0.03969243133161172	-0.054425835455110386	0.048561495844490606	-0.053066723256693885
T_inflam_GEP	0.07668071386907038	0.3248391915240141	-0.07391188808393519	-0.10418806725709463	0.296103028461314	NA	-0.028103337818995867	0.3134092914794807	-0.022124917166879494	-0.028429371911425715	0.0618588173340217	0.3300079557114496	0.30396200579232624	-0.03443296841544709	0.29303895734431135	-0.029992810896140202	-0.011252859961374546	0.05312243905527807	0.31821730542842297	-0.04500684380553131	0.2875021138322988	0.32726910862114855	0.26847374755114234	0.007221152707424746	0.4565799971166011	0.32626038866211227	-0.00996652559666082	-0.031835714139263775	0.0246213085567765	-0.06555150608107647	-0.06356491806726591	0.4522702063855199	0.06188132391592264	-0.032385453515933436	0.06919700248028253
CXCR6	0.06918950790936225	0.6454228960140743	0.02652379313585392	-0.05410517896424387	NA	0.296103028461314	0.005042687532789977	0.6316280273982048	0.10630566053563013	-0.0535002533990571	0.039252470723067215	0.3660421722786916	0.3536334386325191	0.005011458126817283	0.5627005743337572	-0.016194737942861345	0.0421359919071422	0.08380446308086402	0.6066559355994757	0.005755003439283064	0.48265469487395907	0.5026182874358965	0.5651125342883153	0.03639204486910134	0.45443574267904346	0.5145393673602592	0.019052985431348566	0.001921950431648569	-0.021600677937937178	-0.040559100968901224	-0.04336171483388214	0.4233203150003353	0.06514878528346699	-0.15850656569240107	0.08050900919524286
Signature.8	0.06720309256458303	-0.04154579597141967	0.011792250616894373	NA	-0.05410517896424387	-0.10418806725709463	-0.016365048912497595	-0.024760148094044337	-0.023823360057421687	0.023524007418355558	-0.07701510115759509	-0.03925032547792694	0.02109980838124526	0.028729076385161943	-0.03386247133226532	-0.005874431455441007	-0.008631076179518533	-0.023453946290699083	-0.04783768525997311	-0.04835617089662859	0.032031405394385135	-0.012680334023137417	-0.03448978736180384	-0.07440838762329358	-0.03244718637382868	-0.04162430339241146	0.06297830117872132	-0.008193977231559828	-0.013055553250420791	0.024771667479466408	0.03485502461042611	0.012462776668505088	0.011937799941747729	-0.04384577695437955	0.01073492961981306
Signature.21	-0.06466909104418739	0.0481704638510514	NA	0.011792250616894373	0.02652379313585392	-0.07391188808393519	-0.007211920699298389	-2.7629066947904306e-4	-0.04234559312882336	-0.02657595467122872	-0.08866506751105926	-0.005474804301869874	0.0021071090762165537	-0.009718026818674839	-0.0013628495232044647	-0.0126667842352305	5.555715871653725e-4	-0.047295045019696676	-0.01643276186532323	0.01331302361005839	-0.030706960516072662	-0.010621203618019518	0.027972311774010637	-0.08048608081327704	-0.004130512532132625	-0.01569372594374918	0.03944732967557967	0.03608235541496059	-0.055471624828704304	-0.021168670731737744	0.006029272793512926	0.009708809027098461	-0.09812250333953845	-0.0731653664742036	-0.09197175745029212
NKG7	0.06365383320096725	NA	0.0481704638510514	-0.04154579597141967	0.6454228960140743	0.3248391915240141	0.010671714118261287	0.6850076940669846	-0.0013002629780614835	0.04117480724036638	0.011252260093203006	0.4212547859956327	0.3874541381103778	0.07582440364341889	0.6492587565234114	-0.01275274151020623	0.10066331698900559	0.0426284446534343	0.7504676571893719	-4.0519248308663327e-4	0.5212288285277724	0.5451138747438031	0.6743889905872504	-0.005501439940491801	0.5983816252027283	0.5266655710747421	0.09626051537477867	0.003368351694976002	-0.03973231220886901	0.028787098421774522	0.03966962059399668	0.4595503097335236	0.0514720207132328	-0.19623390267690885	0.07066873716660399
response	NA	0.06365383320096725	-0.06466909104418739	0.06720309256458303	0.06918950790936225	0.07668071386907038	-0.0767014819768274	0.08140102872132075	0.08203107936631462	-0.08990251819707519	0.09121787013263885	0.09394631374069876	0.09500270045185756	-0.09575009244006122	0.09800821524185854	0.09870533441153433	-0.09941172771993213	0.10738091627338568	0.10827212922033007	-0.11489602480776524	0.11710542995863825	0.11770368541136117	0.1180395784102905	0.1215375990473012	0.12181550791848257	0.12933910156261538	0.1356248994179268	0.1376795812388781	0.13859278413551154	0.15046290049664168	0.1620744898284819	0.17053242126348098	0.22685772357650266	-0.22849393821467792	0.2357970909042951
